"x","y"
-0.33333333333333337,0.2744444444444445
-0.33333333333333337,0.2649382716049383
-0.33333333333333337,0.25543209876543216
-0.33333333333333337,0.24592592592592596
-0.33333333333333337,0.2364197530864198
-0.33333333333333337,0.2269135802469136
-0.33333333333333337,0.21740740740740744
-0.33333333333333337,0.20790123456790127
-0.33333333333333337,0.1983950617283951
-0.33333333333333337,0.18888888888888894
-0.33333333333333337,0.17938271604938275
-0.33333333333333337,0.16987654320987655
-0.33333333333333337,0.16037037037037039
-0.33333333333333337,0.15086419753086422
-0.33333333333333337,0.14135802469135805
-0.33333333333333337,0.13185185185185186
-0.33333333333333337,0.12234567901234569
-0.33333333333333337,0.11283950617283953
-0.33333333333333337,0.10333333333333333
-0.33333333333333337,0.0938271604938272
-0.33333333333333337,0.084320987654321
-0.33333333333333337,0.07481481481481483
-0.33333333333333337,0.06530864197530864
-0.33333333333333337,0.055802469135802474
-0.33333333333333337,0.04629629629629628
-0.33333333333333337,0.03679012345679014
-0.33333333333333337,0.027283950617283947
-0.33333333333333337,0.01777777777777778
-0.33333333333333337,0.008271604938271615
-0.33333333333333337,-0.0012345679012345512
-0.33333333333333337,-0.010740740740740773
-0.33333333333333337,-0.02024691358024694
-0.33333333333333337,-0.02975308641975305
-0.33333333333333337,-0.03925925925925927
-0.33333333333333337,-0.04876543209876544
-0.33333333333333337,-0.058271604938271604
-0.33333333333333337,-0.06777777777777777
-0.33333333333333337,-0.07728395061728399
-0.33333333333333337,-0.0867901234567901
-0.33333333333333337,-0.09629629629629627
-0.33333333333333337,-0.10580246913580249
-0.33333333333333337,-0.11530864197530866
-0.33333333333333337,-0.12481481481481482
-0.33333333333333337,-0.134320987654321
-0.33333333333333337,-0.1438271604938272
-0.33333333333333337,-0.15333333333333338
-0.33333333333333337,-0.16283950617283954
-0.33333333333333337,-0.1723456790123457
-0.33333333333333337,-0.18185185185185182
-0.33333333333333337,-0.1913580246913581
-0.33333333333333337,-0.2008641975308642
-0.33333333333333337,-0.21037037037037037
-0.33333333333333337,-0.2198765432098766
-0.33333333333333337,-0.22938271604938276
-0.33333333333333337,-0.23888888888888893
-0.33333333333333337,-0.2483950617283951
-0.33333333333333337,-0.25790123456790126
-0.33333333333333337,-0.2674074074074074
-0.33333333333333337,-0.2769135802469136
-0.33333333333333337,-0.28641975308641976
-0.33333333333333337,-0.2959259259259259
-0.33333333333333337,-0.3054320987654322
-0.33333333333333337,-0.31493827160493837
-0.33333333333333337,-0.32444444444444454
-0.33333333333333337,-0.3339506172839507
-0.33333333333333337,-0.34345679012345676
-0.33333333333333337,-0.35296296296296303
-0.33333333333333337,-0.3624691358024692
-0.33333333333333337,-0.37197530864197537
-0.33333333333333337,-0.38148148148148153
-0.33333333333333337,-0.3909876543209877
-0.33333333333333337,-0.40049382716049386
-0.33333333333333337,-0.41000000000000003
-0.33333333333333337,-0.4195061728395062
-0.33333333333333337,-0.42901234567901236
-0.33333333333333337,-0.43851851851851864
-0.33333333333333337,-0.4480246913580248
-0.33333333333333337,-0.45753086419753086
-0.33333333333333337,-0.46703703703703714
-0.33333333333333337,-0.4765432098765432
-0.33333333333333337,-0.48604938271604947
-0.33333333333333337,-0.49555555555555564
-0.33333333333333337,-0.5050617283950618
-0.33333333333333337,-0.514567901234568
-0.33333333333333337,-0.524074074074074
-0.33333333333333337,-0.5335802469135803
-0.33333333333333337,-0.5430864197530866
-0.33333333333333337,-0.5525925925925926
-0.33333333333333337,-0.5620987654320989
-0.33333333333333337,-0.5716049382716051
-0.33333333333333337,-0.5811111111111111
-0.33333333333333337,-0.5906172839506174
-0.33333333333333337,-0.6001234567901235
-0.33333333333333337,-0.6096296296296297
-0.33333333333333337,-0.6191358024691359
-0.33333333333333337,-0.6286419753086421
-0.33333333333333337,-0.6381481481481482
-0.33333333333333337,-0.6476543209876543
-0.33333333333333337,-0.6571604938271606
-0.33333333333333337,-0.6666666666666669
-0.32666666666666666,0.2609882764444444
-0.32666666666666666,0.25161802449382714
-0.32666666666666666,0.24224777254320984
-0.32666666666666666,0.23287752059259256
-0.32666666666666666,0.2235072686419753
-0.32666666666666666,0.21413701669135798
-0.32666666666666666,0.2047667647407407
-0.32666666666666666,0.19539651279012343
-0.32666666666666666,0.18602626083950613
-0.32666666666666666,0.17665600888888885
-0.32666666666666666,0.16728575693827158
-0.32666666666666666,0.15791550498765428
-0.32666666666666666,0.148545253037037
-0.32666666666666666,0.13917500108641973
-0.32666666666666666,0.12980474913580245
-0.32666666666666666,0.12043449718518515
-0.32666666666666666,0.11106424523456787
-0.32666666666666666,0.10169399328395057
-0.32666666666666666,0.09232374133333329
-0.32666666666666666,0.08295348938271602
-0.32666666666666666,0.07358323743209871
-0.32666666666666666,0.06421298548148147
-0.32666666666666666,0.05484273353086416
-0.32666666666666666,0.04547248158024689
-0.32666666666666666,0.036102229629629584
-0.32666666666666666,0.02673197767901231
-0.32666666666666666,0.017361725728395005
-0.32666666666666666,0.007991473777777758
-0.32666666666666666,-0.0013787781728395454
-0.32666666666666666,-0.010749030123456793
-0.32666666666666666,-0.020119282074074152
-0.32666666666666666,-0.0294895340246914
-0.32666666666666666,-0.03885978597530865
-0.32666666666666666,-0.04823003792592595
-0.32666666666666666,-0.0576002898765432
-0.32666666666666666,-0.06697054182716056
-0.32666666666666666,-0.0763407937777778
-0.32666666666666666,-0.08571104572839511
-0.32666666666666666,-0.09508129767901236
-0.32666666666666666,-0.10445154962962966
-0.32666666666666666,-0.11382180158024696
-0.32666666666666666,-0.12319205353086427
-0.32666666666666666,-0.1325623054814815
-0.32666666666666666,-0.14193255743209876
-0.32666666666666666,-0.15130280938271612
-0.32666666666666666,-0.16067306133333337
-0.32666666666666666,-0.17004331328395067
-0.32666666666666666,-0.17941356523456792
-0.32666666666666666,-0.18878381718518517
-0.32666666666666666,-0.19815406913580252
-0.32666666666666666,-0.20752432108641977
-0.32666666666666666,-0.21689457303703708
-0.32666666666666666,-0.22626482498765432
-0.32666666666666666,-0.23563507693827168
-0.32666666666666666,-0.24500532888888893
-0.32666666666666666,-0.2543755808395062
-0.32666666666666666,-0.2637458327901234
-0.32666666666666666,-0.2731160847407408
-0.32666666666666666,-0.28248633669135803
-0.32666666666666666,-0.2918565886419753
-0.32666666666666666,-0.30122684059259264
-0.32666666666666666,-0.31059709254321
-0.32666666666666666,-0.31996734449382724
-0.32666666666666666,-0.3293375964444445
-0.32666666666666666,-0.33870784839506174
-0.32666666666666666,-0.348078100345679
-0.32666666666666666,-0.35744835229629635
-0.32666666666666666,-0.3668186042469136
-0.32666666666666666,-0.37618885619753084
-0.32666666666666666,-0.3855591081481481
-0.32666666666666666,-0.39492936009876545
-0.32666666666666666,-0.4042996120493828
-0.32666666666666666,-0.41366986400000005
-0.32666666666666666,-0.4230401159506173
-0.32666666666666666,-0.43241036790123455
-0.32666666666666666,-0.4417806198518519
-0.32666666666666666,-0.45115087180246927
-0.32666666666666666,-0.4605211237530864
-0.32666666666666666,-0.46989137570370376
-0.32666666666666666,-0.479261627654321
-0.32666666666666666,-0.48863187960493826
-0.32666666666666666,-0.4980021315555556
-0.32666666666666666,-0.5073723835061729
-0.32666666666666666,-0.5167426354567902
-0.32666666666666666,-0.5261128874074074
-0.32666666666666666,-0.5354831393580247
-0.32666666666666666,-0.5448533913086421
-0.32666666666666666,-0.5542236432592592
-0.32666666666666666,-0.5635938952098766
-0.32666666666666666,-0.5729641471604939
-0.32666666666666666,-0.5823343991111111
-0.32666666666666666,-0.5917046510617284
-0.32666666666666666,-0.6010749030123457
-0.32666666666666666,-0.610445154962963
-0.32666666666666666,-0.6198154069135803
-0.32666666666666666,-0.6291856588641975
-0.32666666666666666,-0.6385559108148149
-0.32666666666666666,-0.647926162765432
-0.32666666666666666,-0.6572964147160494
-0.32666666666666666,-0.6666666666666667
-0.32,0.24798984533333338
-0.32,0.23875089066666672
-0.32,0.22951193600000003
-0.32,0.22027298133333337
-0.32,0.2110340266666667
-0.32,0.20179507200000002
-0.32,0.19255611733333336
-0.32,0.1833171626666667
-0.32,0.174078208
-0.32,0.16483925333333338
-0.32,0.1556002986666667
-0.32,0.14636134400000003
-0.32,0.13712238933333337
-0.32,0.12788343466666668
-0.32,0.11864448000000002
-0.32,0.10940552533333336
-0.32,0.10016657066666668
-0.32,0.09092761600000002
-0.32,0.08168866133333336
-0.32,0.0724497066666667
-0.32,0.06321075200000001
-0.32,0.05397179733333335
-0.32,0.04473284266666666
-0.32,0.03549388800000003
