"n","maxAbsErr"
0,0.00963559887207482
1,0.0015515369611267705
2,0.00016495953916747133
3,0.00001616661771692462
4,1.5324537249135384e-6
6,1.307002977253488e-8
8,1.0639394514851834e-10
10,8.342638446442104e-13
12,1.0139108353278611e-14
16,9.742207041085749e-15
20,9.742207041085749e-15
